"row","case","Study","Location","Year","Dose","Age.min","Age.max","Cases_total","Controls","Population","Dose013","AgeGroup3"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
10,0,"Bisgard2000","Russia",1993,"3",0,2,7,120,"Russia 1993","Full","0-4y"
